address,Custom mint limit (optional),Custom price in native token e.g. ETH (optional)
0xe13e2e75d990fc711f4291a1f1f31ecf7c022c6a,1,0
0xe967023c02d7e8003b3c6f49c64b6e5740c4fe0f,1,0
0xf300e080b2b98e110c096a3c9fdb9825f2c4bf25,1,0
0xf909d70f3ba098a51249e91063af56c2eaba7df9,1,0
0xef43097e2b48c94bbef3dadb875429d907b46476,1,0
0xe3bc007ef603208550e9666c85534924501ab673,1,0
0xf2cf9b1f65ae3df9647fafd9651c33d02ffa9f41,1,0
0xef125e49fb1a1bc5f8025b364ca5486368ff87a9,1,0
0xe9fbe0a03d07e13f9ecddc737e756590bc3db442,1,0
0xff69839179fa19f0e0514b608b4a700277ceaa85,1,0
0xfb86fdc2c50a4c7b9bf7b6198649b877d8d2a4e4,1,0
0xf801a1c2f1be24a0278dd3a8c0b3ff3d965d9d21,1,0
0xf41ab5372ba7fead7f0f9cbd4c9c20d76ac74fac,1,0
0xe4e75d7df7fe0cfdfac5fa0c1e4eb184d5ef614c,1,0
0xe9a830ab84558da8fbb7995306bdeda3f1f6d1de,1,0
0xfcdbd14b05bac037d34463a5881737273830a390,1,0
0xe6cc5e3ebb07b5156ba3af510b8c6ca19804d88e,1,0
0xfecf0de7e697298099083e5e50e91731b4fa1ac3,1,0
0xf0d02211853fe3be3e75313457bc7c9e4ef1dd47,1,0
0xfa881362478a4fbabfe76b46be941ac8ee0408c6,1,0
0xf63c6600af8071796414ae59be31323294dd878d,1,0
0xdf6e77ff940d24e862a59a5f76fc483a432e97b0,1,0
0xfd608eb135c5ba9b76a40bcea66ac58b4c24631a,1,0
0xfa17ed2d924c31f3913e9de3aaeda98fd45a0088,1,0
0xfa8deeb3e47674468f74f65c3a015c8a5b6eeb99,1,0
0xed873f2f30c2bf8e99e143337f050d2722e9b36b,1,0
0xf66d4094d0c66fc43494b453008f6853b4a45c89,1,0
0xf12bd23f179435169c4bfcce7da2a39f229ce9f0,1,0
0xdf6159aca77e89fb6ff28efd11e4401e765237d0,1,0
0xf5bf74b578dad55c561e015283bc730919defabb,1,0
0xf4a4a703bb3d229f2e1776c350cbaf284a75de7c,1,0
0xe2c2bbac29a8991c21d50cfb76d56ef455d85157,1,0
0xebefeb85d5feafd47208c4cecd61b0d9f5621770,1,0
0xe637e4b33e95fe4ef788f779f86ac3901d1ba369,1,0
0xe53af7fd3c2629ff427adf9c870fbb0e961f989f,1,0
0xe1bf20e13fc55476b7f0f559990ce5f28e48fb79,1,0
